Date,EUR1M BGN Curncy
2016-06-02,1.116347
2016-06-03,1.137933
2016-06-06,1.136744
2016-06-07,1.137134
2016-06-08,1.140798
2016-06-09,1.132852
2016-06-10,1.126352
2016-06-13,1.130486
2016-06-14,1.122122
2016-06-15,1.127383
2016-06-16,1.123913
2016-06-17,1.129086
2016-06-20,1.132768
2016-06-21,1.125686
2016-06-22,1.131136
2016-06-23,1.139924
2016-06-24,1.113309
2016-06-27,1.10388
2016-06-28,1.107834
2016-06-29,1.113801
2016-06-30,1.11186
2016-07-01,1.114845
2016-07-04,1.116718
2016-07-05,1.108882
2016-07-06,1.111381
2016-07-07,1.10763
2016-07-08,1.106397
2016-07-11,1.107158
2016-07-12,1.107422
2016-07-13,1.110273
2016-07-14,1.11329
2016-07-15,1.104841
2016-07-18,1.108965
2016-07-19,1.103464
2016-07-20,1.102821
2016-07-21,1.103962
2016-07-22,1.099052
2016-07-25,1.100944
2016-07-26,1.100031
2016-07-27,1.107266
2016-07-28,1.109068
2016-07-29,1.118726
2016-08-01,1.11777
2016-08-02,1.123862
2016-08-03,1.116333
2016-08-04,1.11436
2016-08-05,1.109948
2016-08-08,1.110251
2016-08-09,1.113071
2016-08-10,1.118916
2016-08-11,1.115014
2016-08-12,1.117497
2016-08-15,1.119771
2016-08-16,1.129249
2016-08-17,1.1302
2016-08-18,1.136695
2016-08-19,1.133769
2016-08-22,1.133371
2016-08-23,1.131876
2016-08-24,1.127746
2016-08-25,1.129835
2016-08-26,1.121139
2016-08-29,1.120304
2016-08-30,1.115899
2016-08-31,1.117309
2016-09-01,1.121172
2016-09-02,1.117055
2016-09-05,1.116163
2016-09-06,1.127085
2016-09-07,1.125407
2016-09-08,1.127417
2016-09-09,1.124727
2016-09-12,1.124932
2016-09-13,1.123538
2016-09-14,1.126512
2016-09-15,1.125898
2016-09-16,1.117048
2016-09-19,1.119043
2016-09-20,1.11673
2016-09-21,1.120512
2016-09-22,1.122371
2016-09-23,1.124147
2016-09-26,1.12702
2016-09-27,1.123274
2016-09-28,1.123388
2016-09-29,1.123653
2016-09-30,1.125102
2016-10-03,1.122889
2016-10-04,1.12191
2016-10-05,1.121893
2016-10-06,1.116589
2016-10-07,1.121571
2016-10-10,1.11534
2016-10-11,1.106779
2016-10-12,1.102053
2016-10-13,1.107011
2016-10-14,1.098616
2016-10-17,1.101536
2016-10-18,1.099515
2016-10-19,1.098717
2016-10-20,1.094269
2016-10-21,1.08974
2016-10-24,1.089642
2016-10-25,1.090282
2016-10-26,1.092094
2016-10-27,1.090993
2016-10-28,1.099804
2016-10-31,1.09942
2016-11-01,1.106851
2016-11-02,1.111065
2016-11-03,1.111706
2016-11-04,1.115343
2016-11-07,1.10533
2016-11-08,1.103902
2016-11-09,1.092173
2016-11-10,1.090409
2016-11-11,1.086599
2016-11-14,1.074826
2016-11-15,1.073448
2016-11-16,1.070298
2016-11-17,1.063738
2016-11-18,1.05995
2016-11-21,1.06419
2016-11-22,1.064002
2016-11-23,1.05659
2016-11-24,1.056644
2016-11-25,1.06013
2016-11-28,1.06273
2016-11-29,1.067072
2016-11-30,1.060835
2016-12-01,1.068045
2016-12-02,1.068428
2016-12-05,1.078546
2016-12-06,1.073845
2016-12-07,1.077266
2016-12-08,1.063431
2016-12-09,1.058102
2016-12-12,1.065715
2016-12-13,1.064792
2016-12-14,1.055697
2016-12-15,1.043518
2016-12-16,1.047226
2016-12-19,1.042432
2016-12-20,1.041005
2016-12-21,1.04451
2016-12-22,1.045859
2016-12-23,1.047941
2016-12-26,1.047838
2016-12-27,1.04808
2016-12-28,1.044153
2016-12-29,1.050706
2016-12-30,1.053447
2017-01-02,1.047135
2017-01-03,1.042023
2017-01-04,1.050329
2017-01-05,1.062135
2017-01-06,1.054627
2017-01-09,1.058896
2017-01-10,1.056786
2017-01-11,1.059513
2017-01-12,1.062593
2017-01-13,1.065591
2017-01-16,1.061552
2017-01-17,1.07272
2017-01-18,1.064379
2017-01-19,1.067764
2017-01-20,1.071653
2017-01-23,1.077947
2017-01-24,1.074466
2017-01-25,1.076111
2017-01-26,1.069441
2017-01-27,1.071082
2017-01-30,1.070621
2017-01-31,1.080906
2017-02-01,1.078028
2017-02-02,1.077006
2017-02-03,1.079427
2017-02-06,1.07613
2017-02-07,1.069394
2017-02-08,1.070865
2017-02-09,1.066563
2017-02-10,1.065364
2017-02-13,1.060875
2017-02-14,1.058868
2017-02-15,1.061166
2017-02-16,1.068493
2017-02-17,1.062693
2017-02-20,1.062496
2017-02-21,1.054726
2017-02-22,1.056924
2017-02-23,1.059306
2017-02-24,1.057544
2017-02-27,1.060333
2017-02-28,1.059183
2017-03-01,1.056261
2017-03-02,1.052253
2017-03-03,1.063773
2017-03-06,1.059909
2017-03-07,1.058285
2017-03-08,1.05572
2017-03-09,1.059303
2017-03-10,1.069055
2017-03-13,1.067039
2017-03-14,1.062161
2017-03-15,1.075178
2017-03-16,1.078338
2017-03-17,1.075574
2017-03-20,1.075788
2017-03-21,1.08291
2017-03-22,1.081492
2017-03-23,1.080105
2017-03-24,1.081531
2017-03-27,1.088005
2017-03-28,1.082971
2017-03-29,1.078109
2017-03-30,1.06882
2017-03-31,1.066635
2017-04-03,1.068428
2017-04-04,1.068917
2017-04-05,1.067727
2017-04-06,1.065811
2017-04-07,1.060551
2017-04-10,1.061099
2017-04-11,1.062092
2017-04-12,1.068
2017-04-13,1.06282
2017-04-14,1.063319
2017-04-17,1.065845
2017-04-18,1.074634
2017-04-19,1.072642
2017-04-20,1.073189
2017-04-21,1.074341
2017-04-24,1.088291
2017-04-25,1.094245
2017-04-26,1.092065
2017-04-27,1.088874
2017-04-28,1.091219
2017-05-01,1.091606
2017-05-02,1.094653
2017-05-03,1.09018
2017-05-04,1.100047
2017-05-05,1.101345
2017-05-08,1.094008
2017-05-09,1.088953
2017-05-10,1.088319
2017-05-11,1.087635
